Продукция 1;Продукция 2;Импортер;Экспортер;янв.21;фев.21;мар.21;апр.21;май.21;июн.21;июл.21;авг.21;сен.21;окт.21;ноя.21;дек.21;Всего
Сортовой прокат;Арматура;Россия;Беларусь;22,6;16,3;20,6;26;46,9;32,3;27,8;14;20,5;15;22,2;10,2;274,4
Сортовой прокат;Арматура;Россия;Украина;20,5;22,3;9,9;0,4;0,5;1;1;2,6;4;1,9;33;32,6;129,7
Сортовой прокат;Арматура;Россия;Литва;4,5;2,5;4,2;2,5;3,9;3,8;3,4;3;3,6;3,7;3,2;2,5;40,8
Сортовой прокат;Арматура;Россия;Молдова;0;0;0;0;0,2;0,8;0,6;0,2;0;0;0,1;0;1,9
Сортовой прокат;Арматура;Россия;Казахстан;0;0;0;0;0,9;0,1;0;0;0;0;0;0;1
Сортовой прокат;Арматура;Россия;Китай;0;0;0;0,1;0;0;0;0,1;0;0,1;0;0;0,3
Сортовой прокат;Арматура;Россия;Другие;0;0,1;0,2;0,3;0,2;0,6;0,2;0,5;0;0,2;0,3;0,3;2,9
Сортовой прокат;Фасонный прокат;Россия;Украина;10;4,6;17,9;6,2;7;9,3;7,4;5,5;5,4;1,9;5,9;13,5;94,6
Сортовой прокат;Фасонный прокат;Россия;Германия;0,1;0,2;0,1;0;0;0,1;0;0;0;0;0,2;0,1;0,8
Сортовой прокат;Фасонный прокат;Россия;Польша;0,1;0;0,1;0;0,1;0,1;0;0;0,1;0,2;0;0,1;0,8
Сортовой прокат;Фасонный прокат;Россия;Китай;0;0;0;0;0;0,1;0,1;0;0;0,1;0;0;0,3
Сортовой прокат;Фасонный прокат;Россия;Другие;0;0;0;0,2;0,2;0,1;0,1;0,1;0,2;0,2;0,1;0,3;1,5
Сортовой прокат;Фасонный прокат;Россия;Украина;2,3;2,2;1;0,8;0,9;0,9;1,9;0,8;0,5;0,4;0,9;0,4;13
Сортовой прокат;Фасонный прокат;Россия;Германия;0;0,5;0,1;3,7;0,1;0,1;0,1;1;0;0,2;2;2,8;10,6
Сортовой прокат;Фасонный прокат;Россия;Польша;1,7;0;0;0,1;0,1;3,2;0,2;0,3;0,1;0,2;0,1;0,2;6,2
Сортовой прокат;Фасонный прокат;Россия;Бельгия;0;0;0;0;0;0;0;0;0;2;0,1;0,1;2,2
Сортовой прокат;Фасонный прокат;Россия;Китай;0;0;0,2;0;0,1;0;0,1;0,1;0;0;0;0,1;0,6
Сортовой прокат;Фасонный прокат;Россия;Латвия;0;0;0;0;0;0;0;0;0;0;0;0;0
Сортовой прокат;Фасонный прокат;Россия;Другие;0;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0;0,1;0;0,1;1
Сортовой прокат;Фасонный прокат;Россия;Украина;1,5;0,3;1;2;1,1;1,7;1;1,3;0,6;0,7;0,7;1;12,9
Сортовой прокат;Фасонный прокат;Россия;Индия;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,2;0,1;0,1;1,4
Сортовой прокат;Фасонный прокат;Россия;Китай;0;0;0,1;0,1;0,1;0,1;0;0;0;0;0,1;0,1;0,6
Сортовой прокат;Фасонный прокат;Россия;Румыния;0;0;0;0;0;0;0;0;0;0;0;0;0
Сортовой прокат;Фасонный прокат;Россия;Другие;0,3;0,3;0,1;3,1;0,7;0,5;0,2;3;0,3;0,5;1,4;2,7;13,1
Сортовой прокат;Фасонный прокат;Россия;Польша;0;0;0;0;0;0;0;0;0;2,2;2;0;4,2
Сортовой прокат;Фасонный прокат;Россия;Бельгия;0;0;0;0;0;0;0;0;0;0;0;0,9;0,9
Сортовой прокат;Фасонный прокат;Россия;Украина;0,1;0,1;0,1;0;0;0;0;0;0;0;0,1;0,1;0,5
Сортовой прокат;Фасонный прокат;Россия;Чехия;0;0;0;0;0;0;0;0;0;0;0;0;0
Сортовой прокат;Фасонный прокат;Россия;Финляндия;0;0;0;0;0;0;0;0;0;0;0;0;0
Сортовой прокат;Фасонный прокат;Россия;Япония;0;0;0;0;0;0;0;0;0;0;0;0;0
Сортовой прокат;Фасонный прокат;Россия;Другие;0,3;0,3;0,5;0,4;0,3;0,1;0,4;0,5;0,3;0,5;0,5;0,5;4,6
Сортовой прокат;Катанка;Россия;Украина;7,6;7,6;0,4;0,1;0;0;0;0,1;0,1;0,2;14,7;0,8;31,6
Сортовой прокат;Катанка;Россия;Беларусь;0,1;0,7;0,6;0,8;0,4;0,6;2,3;0,9;0,7;0,8;0,4;0,3;8,6
Сортовой прокат;Катанка;Россия;Молдова;0,3;0,1;0,5;0,3;0,3;0,3;0,3;0;0,7;0,8;0,3;0,4;4,3
Сортовой прокат;Катанка;Россия;Словакия;0,2;0,6;0,3;0,2;0,4;0,1;0;0,1;0;0,1;0,1;0,2;2,3
Сортовой прокат;Катанка;Россия;Великобритания;0;0,1;0,1;0,1;0,4;0,1;0,3;0,2;0;0,1;0,2;0,1;1,7
Сортовой прокат;Катанка;Россия;Литва;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0,3
Сортовой прокат;Катанка;Россия;Другие;0,1;0,3;0,1;0,1;0,2;0,3;0,2;0,1;0,2;0,1;0,1;0,3;2,1
Сортовой прокат;Прутки прочие;Россия;Украина;2,3;4,1;3,1;2,5;6,8;2,4;5;3;2,8;2,5;4,2;2,9;41,6
Сортовой прокат;Прутки прочие;Россия;Индия;0,7;1,5;0,7;1,1;0,7;0,8;0,9;0,8;0,7;1;1;0,9;10,8
Сортовой прокат;Прутки прочие;Россия;Беларусь;0,5;0,6;0,5;0,8;0,7;0,4;0,5;0,5;0,9;0,4;0,4;0,4;6,6
Сортовой прокат;Прутки прочие;Россия;Китай;0,2;0,2;0,6;0,5;0,5;0,3;0,5;0,2;0,4;0,6;0,5;0,4;4,9
Сортовой прокат;Прутки прочие;Россия;Румыния;0,3;0,4;0,4;0,3;0,5;0,4;0,6;0,4;0,4;0,5;0,5;0,5;5,2
Сортовой прокат;Прутки прочие;Россия;Турция;0,4;0,3;0,3;0,5;0,3;0,5;0,3;0,3;0,6;0,3;0,5;0,5;4,8
Сортовой прокат;Прутки прочие;Россия;Германия;0,2;0,5;0,3;0,4;0,5;0,3;0,4;0,3;0,3;0,3;0,4;0,4;4,3
Сортовой прокат;Прутки прочие;Россия;Финляндия;0,5;0,1;0,3;0,3;0,3;0,2;0,1;0;0,1;0;0,3;0,3;2,5
Сортовой прокат;Прутки прочие;Россия;Италия;0,1;0,1;0,2;0,2;0,2;0,2;0,3;0,2;0,2;0,3;0,2;0,2;2,4
Сортовой прокат;Прутки прочие;Россия;Польша;0,1;0,1;0,1;0;0,1;0;0,1;0,1;0;0;0,1;0;0,7
Сортовой прокат;Прутки прочие;Россия;Другие;0,2;0,6;0,5;1,4;0,6;0,6;0,4;0,9;0,7;0,7;0,5;0,6;7,7
Сортовой прокат;Рельсы;Россия;Украина;0,4;0,2;1;0,5;1,3;0,7;0,7;0,2;0;0,1;1,4;1,7;8,2
Сортовой прокат;Рельсы;Россия;Казахстан;0,1;0,2;0,2;0,9;0;0,1;0,1;0,4;0;0;0;0,9;2,9
Сортовой прокат;Рельсы;Россия;Китай;0;0;0;0;0;0,1;0;0,2;0;0;0;0;0,3
Сортовой прокат;Рельсы;Россия;Польша;0;0,1;0;0,1;0,1;0;0;0;0,1;0;0;0;0,4
Сортовой прокат;Рельсы;Россия;Другие;0,2;0;0,5;0,2;0,2;0;0;0,1;0,1;0;0,6;0,1;2
